Theme Id,Theme Name,Defination,Keywords,Status,Objective Count,Original Statements
,,,,,,15317 | To promote girls education and empower them through knowledge | 0.6195
,,,,,,15320 | To promote girls' education and empower them through community engagement | 0.6195
,,,,,,4143 | To educate girls and support their admission to school | 0.6022
,,,,,,15381 | To empower girls in the community by providing them with access to education | 0.6832
,,,,,,3973 | To promote equal opportunities for girls in education and challenge discriminatory attitudes | 0.7631
,,,,,,4029 | To educate girls and make them aware of the importance of education | 0.6047
,,,,,,4013 | To address the problem of patriarchal thinking and lack of awareness about the importance of girls' education | 0.6507
,,,,,,19229 | To empower girls through education | 0.6422
,,,,,,19217 | To empower women in the village to educate their children by explaining the importance of education | 0.6066
,,,,,,15574 | To improve education for girls in Naya Tola Bairganiya by raising awareness about the importance of education and providing support to girls from poor families | 0.5634
,,,,,,"23700 | To educate every boy and girl in rural Bihar, regardless of their economic background | 0.5708"
,,,,,,21749 | To educate girls and empower them to make their own decisions | 0.5801
,,,,,,4237 | To empower girls through education and raise awareness about its importance | 0.6244
,,,,,,4269 | To empower girls through education and create a brighter future for them | 0.6053
,,,,,,4241 | To educate girls and empower them through education | 0.6108
,,,,,,4279 | To educate girls about their rights and roles in society | 0.6199
,,,,,,5012 | To empower girls through education by changing parental attitudes and enrolling children in school | 0.6388
,,,,,,4263 | To improve education and awareness among girls in the community through Meena Manch | 0.562
,,,,,,5349 | To empower girls in the community by providing them with access to education and job opportunities | 0.6823
,,,,,,14888 | To address the gender-based challenges in education by conducting awareness campaigns for parents | 0.6172
,,,,,,4596 | To connect girls to school for education and empower them | 0.6226
,,,,,,5031 | To shift parental attitudes that deprioritize girls' education | 0.7346
,,,,,,15296 | To educate village girls and increase awareness among them | 0.6165
,,,,,,15338 | To empower girls through education by encouraging their parents to send them to school | 0.6284
,,,,,,4080 | To educate girls and empower them through education | 0.6108
,,,,,,4014 | To educate girls and empower them to make informed decisions about their lives | 0.5585
,,,,,,4017 | To promote education and empowerment of girls in rural areas | 0.6485
,,,,,,4475 | To educate girls in Kudra village by providing them with necessary resources and support | 0.5763
,,,,,,20531 | To improve girls education in Motnaje village | 0.5549
,,,,,,19232 | To empower girls through education and make them independent | 0.6081
,,,,,,15458 | To increase awareness among parents about the importance of education for girls and to encourage them to send their daughters to school | 0.6426
,,,,,,13880 | To educate women and children about gender sensitivity and promote awareness in the community | 0.7055
,,,,,,15757 | To encourage girls to attend school | 0.6312
,,,,,,15838 | To raise awareness among the community about the importance of girls education and to encourage all children to join schools and study | 0.6365
,,,,,,16027 | To educate girls and empower them | 0.5777
,,,,,,"16140 | To empower girls through education and make them aware of their goals, strategies, and life | 0.6174"
,,,,,,16703 | To empower girls through education and improve their future prospects | 0.6392
,,,,,,15237 | To educate the community about the importance of education for girls | 0.6787
,,,,,,15376 | To empower girls through education and encourage them to pursue their studies | 0.6699
,,,,,,4007 | To promote girls' education and challenge traditional mindsets that hinder their academic pursuits | 0.6806
,,,,,,4075 | To increase participation and understanding of girls | 0.5735
,,,,,,4033 | To empower girls through education and help them overcome obstacles that prevent them from pursuing their studies | 0.6986
,,,,,,21510 | To empower adolescent girls through education and make them self-reliant | 0.637
,,,,,,19207 | To educate illiterate women about government schemes and help them get their children educated | 0.5567
,,,,,,22044 | To empower women and teenagers through education and awareness | 0.58
,,,,,,20496 | To educate girls and empower them to live their lives well | 0.5706
,,,,,,4604 | To empower women through education and improve their socio-economic status | 0.6099
,,,,,,5056 | To empower girls through education by addressing the issue of gender discrimination and household responsibilities | 0.8158
